id,gender,age,education,combined_covid_conspriacy,china_covid_conspiracy,generic_covid_conspiracy,generic_covid_conspiracy_wo_hoax,combined_covid_conspriacy_wo_hoax,negative_feelings_italy,negative_feelings_china,negative_feelings_roma,social_distance_italy,social_distance_china,social_distance_roma,discrimination_italy,discrimination_china,discrimination_roma,italy_composite,china_composite,roma_comspotie,information_exposure,anxiety,lack_of_control
61,1,31,3,3.08333333333333,2.25,3.5,3.85714285714286,3.27272727272727,49,50,100,2,4.33333333333333,5.66666666666667,1,1,1,-.0597058902712927,.464885737796524,.608649558774069,2.66666666666667,3.25,4.75
62,2,23,3,1.5,1.25,1.625,1.71428571428571,1.54545454545455,50,50,50,1,1,1,3,3,2,-.19015743725314,-.415864971364056,-.993063154956704,1.66666666666667,2,1.25
63,2,66,3,2.5,2.25,2.625,2.57142857142857,2.45454545454545,39,38,39,1,1,1,1,1,1,-.545772564640229,-.757841682805409,-1.18166837411983,6.33333333333333,1.25,3
64,1,30,2,3,2.5,3.25,3.14285714285714,2.90909090909091,50,50,50,3,2.33333333333333,4.33333333333333,2,2,2,.479186722862194,-.0657879256868414,-.066848759393259,4.33333333333333,2,3.25
65,1,32,3,1.91666666666667,1,2.375,2.28571428571429,1.81818181818182,51,53,73,1.66666666666667,3.66666666666667,7,7,7,5,.594956227910048,.978537360492924,1.18579057019273,3.66666666666667,1,1
66,1,24,3,1.16666666666667,1,1.25,1,1,45,45,90,1,1,3.66666666666667,3,3,2,-.236117492777822,-.462110754342453,.0621138875037376,4.33333333333333,3,2.75
67,1,34,3,2.66666666666667,3.25,2.375,2.42857142857143,2.72727272727273,14,51,50,4,4.66666666666667,3.66666666666667,1,1,1,.416130990536081,.63745352283374,-.364882240446027,5,1.25,1.75
68,1,25,3,1.25,1,1.375,1.28571428571429,1.18181818181818,28,28,53,1,1,1,2,4,1,-.519633184178134,-.503853000322401,-1.06806036794223,2.66666666666667,2.25,2.25
69,1,36,6,2.75,3,2.625,2.71428571428571,2.81818181818182,40,50,50,2,2,2,4,4,2,.240332931223985,.0529726324369464,-.71069871437317,4.66666666666667,2,2
70,1,34,3,1.83333333333333,1.5,2,1.85714285714286,1.72727272727273,0,0,0,1,1,1,1,1,1,-.904260997732745,-1.10930963344122,-1.49814781990027,4,1.75,1.25
71,2,19,1,1.91666666666667,1.75,2,2.14285714285714,2,38,28,38,1,1.33333333333333,2,6,6,3,.0812929373368079,-.156473552573247,-.712541074796229,5.66666666666667,3,4.5
72,1,21,3,1.08333333333333,1,1.125,1.14285714285714,1.09090909090909,50,50,50,1,1,1,2,4,1,-.317408939869535,-.300371555217456,-1.09240494069458,6.33333333333333,3,4.5
73,1,32,4,2.75,2.75,2.75,2.71428571428571,2.72727272727273,96,96,97,2.33333333333333,2,2,5,5,6,1.01473165708052,.581062808513963,.0680667350316698,5,2.5,5
74,2,36,5,2.58333333333333,2.75,2.5,2.57142857142857,2.63636363636364,11,50,100,1,1.66666666666667,4.66666666666667,4,4,4,-.421394367729262,-.0849825286741335,.637296447097738,3.33333333333333,2.25,1
75,2,48,5,1.08333333333333,1,1.125,1.14285714285714,1.09090909090909,61,61,83,2.33333333333333,2.66666666666667,2.66666666666667,4,4,2,.563734938610318,.378800483717034,-.264068584475009,5.66666666666667,4,2
76,1,32,3,3.33333333333333,3.25,3.375,3.57142857142857,3.45454545454545,58,41,61,3.33333333333333,2.66666666666667,4.66666666666667,3,4,4,.813381329272311,.189285590905695,.321562817621526,5,5,5
77,2,20,3,1.08333333333333,1.25,1,1,1.09090909090909,56,52,60,1,1,1.66666666666667,5,6,3,.119497634609267,-.0508864097328964,-.62992710860372,3.33333333333333,2.25,1.25
78,1,32,3,1.66666666666667,1,2,1.57142857142857,1.36363636363636,47,45,95,1.66666666666667,1.33333333333333,5.66666666666667,2,2,7,-.0791325500242957,-.469909657217392,1.18091781212589,2.66666666666667,1.25,1
79,1,32,2,3,3,3,3,3,18,22,16,1,1,1,1,1,1,-.738804797843891,-.905828188336278,-1.36831009855445,5.66666666666667,1.5,4
80,1,20,3,3.33333333333333,3.25,3.375,3.57142857142857,3.45454545454545,52,60,68,3.66666666666667,4,5.33333333333333,2,2,3,.761296727366864,.595071434856466,.474656691440006,4,4,5
81,1,34,3,2.08333333333333,1.75,2.25,2.14285714285714,2,50,33,71,1,1,5.33333333333333,4,4,3,-.0629059346367457,-.457607217344004,.482209437347198,3.66666666666667,4.5,3.5
82,2,24,3,3.33333333333333,3.25,3.375,3.28571428571429,3.27272727272727,50,50,65,1.66666666666667,1.66666666666667,2.66666666666667,2,3,6,-.0504932962768616,-.200475944820734,-.0188889557322441,3.33333333333333,3,2.75
83,2,24,4,1.33333333333333,1.25,1.375,1.42857142857143,1.36363636363636,50,95,70,1.66666666666667,1,3,1,1,1,-.181896066939547,-.230639756851686,-.372990618148366,6,4.5,3.25
84,1,26,3,1.5,2,1.25,1.28571428571429,1.54545454545455,65,32,32,1.66666666666667,1.66666666666667,1.33333333333333,1,3,5,-.0430034867749825,-.345398217887836,-.748252372446478,7,4,5
85,1,31,3,1.5,1.25,1.625,1.57142857142857,1.45454545454545,50,50,55,1,3,3.33333333333333,7,7,7,.318848573212438,.692275772852312,.175829861243785,5.66666666666667,2.25,4.5
86,2,20,3,1.08333333333333,1.25,1,1,1.09090909090909,53,39,66,1,1,3.33333333333333,4,5,4,-.0353299013219367,-.286618861623328,-.0199460908509987,3.66666666666667,2,2.25
87,2,39,5,1.16666666666667,1,1.25,1.28571428571429,1.18181818181818,49,49,83,1,1.33333333333333,3,1,3,1,-.453852453590866,-.304555171217241,-.267497469554887,6,4.25,5.5
88,1,30,3,2.66666666666667,2.75,2.625,2.71428571428571,2.72727272727273,88,94,77,1,1,3.33333333333333,4,5,1,.286390487350834,.222084751139036,-.232513869790931,5,2.25,3
89,1,31,3,2.75,1.5,3.375,3.71428571428571,2.90909090909091,50,50,50,3.66666666666667,3.66666666666667,4,4,4,4,.99528926952453,.642902972678586,.0725656039621297,4.33333333333333,4,2
